account_uuid,account_number,account_format,bank_id,date_added,critical_account,name,adress,social_security_number
4919dd56-8d2c-484a-8e6d-4283af4086ce,DE02846611252825463458,IBAN,QPSBDEB1,2024-09-22,false,,,
ee842018-0f76-40e3-837a-aeccfb7d107f,DE77006627663366296155,IBAN,QPSBDEB1,2024-01-06,true,,,
bf13c14c-1b0e-4c45-942e-64e5e0f23635,DE17518397186620088445,IBAN,QPSBDEB1,2024-12-07,false,,,
5f15103b-ab27-4449-9f4b-5fe29cf80430,DE11995075979614680680,IBAN,QPSBDEB1,2024-08-26,false,,,
34adc550-78a9-430a-b8d1-7baed6fe0d19,DE72773503169911083189,IBAN,QPSBDEB1,2024-11-22,false,,,
79f4d093-0b56-4fbe-a371-7c62c2c007e8,DE64077096533161632727,IBAN,QPSBDEB1,2024-10-22,false,,,
54f480aa-03be-4b42-b3da-4d3a1384d59d,DE86130500458933550615,IBAN,QPSBDEB1,2024-01-30,false,,,
f4290dac-4b65-4c04-8446-750d860faf24,DE95884142644334485684,IBAN,QPSBDEB1,2024-07-22,false,,,
89e1f787-0c99-40b7-bc32-121d066da298,DE29008766528756129033,IBAN,QPSBDEB1,2024-01-10,false,,,
a1e17d9e-5810-42f4-83bc-2c1bf0c8a306,DE95457291667601806551,IBAN,QPSBDEB1,2024-04-12,false,,,
f4e14e75-4ea2-44f5-a854-3d8871dfd962,DE16764455359020348942,IBAN,QPSBDEB1,2024-06-21,true,,,
780241c2-81f4-4997-af41-ebac3931bab3,DE05368799173402301635,IBAN,QPSBDEB1,2024-03-27,false,,,
ecb0ba84-27a4-464a-b48a-56b7fe793d05,DE36728195342696913366,IBAN,QPSBDEB1,2024-06-25,false,,,
2d9a057c-74a2-45d2-aa00-973404a3de5a,DE71072053347664629465,IBAN,QPSBDEB1,2024-01-08,false,,,
2b23a752-af02-422e-aa0c-c3ec505c06bc,DE68526777324827513980,IBAN,QPSBDEB1,2024-05-01,true,,,
c17e24d6-a404-42e3-ac1f-a03e0421407a,DE58064122184607898112,IBAN,QPSBDEB1,2024-01-07,true,,,
31239918-bcc6-456a-9a5b-e506909fe183,DE86953626644600120686,IBAN,QPSBDEB1,2024-08-07,true,,,
968de480-d9ea-4692-bd6f-68fa9ccb62ea,DE80979288556857267989,IBAN,QPSBDEB1,2024-08-25,true,,,
f965ab67-76a8-43d5-b891-f4b35396a382,DE59572712940997139618,IBAN,QPSBDEB1,2024-05-06,true,,,
72bcf73b-311b-4dbb-a70f-c50c2a8d077d,DE74237389509819235429,IBAN,QPSBDEB1,2024-03-05,false,,,
72a5f5c7-8e5b-493d-af92-df3b616de840,DE09687374805466078826,IBAN,QPSBDEB1,2024-05-27,true,,,
033fc84a-27ca-402b-b619-7596bf54589c,DE11203771709796444547,IBAN,QPSBDEB1,2024-10-17,true,,,
49f51ee8-9e1a-41f4-9f4f-31754da2de05,DE88419498722443790151,IBAN,QPSBDEB1,2024-04-27,false,,,
d791ee29-0b48-43a3-8783-28cb932735e0,DE38904321133428532824,IBAN,QPSBDEB1,2024-08-11,false,,,
fe04ed97-2385-4011-ad5b-aa4e53a36b9d,DE59562379101495416660,IBAN,QPSBDEB1,2024-05-06,false,,,
